method,seed,n_queries,cumulative_reward,mean_reward,mean_quality,final_quality,mean_cost_tokens,mean_latency_ms
pheromone_router,0,100,17.40924378010759,0.17409243780107592,0.401752437801076,0.41972337612170285,1144.1,113.25
random,0,100,13.709510620391935,0.13709510620391935,0.2787051062039193,0.2989900569407793,693.1,72.3
greedy-cheapest,0,100,8.945252826060726,0.08945252826060726,0.13045252826060727,0.1217851272762926,210.0,20.0
greedy-advertised,0,100,17.357095411520348,0.17357095411520349,0.4340709541152035,0.4254825080269363,1317.5,128.75
oracle,0,100,36.685494836850694,0.36685494836850696,0.5196049483685069,0.5119024879011775,765.0,76.25
pheromone_router,1,100,18.658281805308533,0.18658281805308533,0.4190528180530852,0.425227262414817,1170.7,115.4
random,1,100,9.948592536119778,0.09948592536119777,0.22350592536119776,0.20768805418208494,599.2,64.1
greedy-cheapest,1,100,8.86893653557448,0.0886893653557448,0.12968936535574482,0.12754452132554575,210.0,20.0
greedy-advertised,1,100,16.285033618894417,0.16285033618894418,0.4233503361889441,0.4258699886764271,1317.5,128.75
oracle,1,100,35.98035196161998,0.35980351961619983,0.5125535196161999,0.5165675012701364,765.0,76.25
pheromone_router,2,100,16.564240556013157,0.16564240556013157,0.38455240556013154,0.40804706635747157,1106.6,108.25
random,2,100,12.80918838703601,0.12809188387036008,0.24660188387036008,0.165216196503166,577.6,60.75
greedy-cheapest,2,100,9.250117227498256,0.09250117227498256,0.13350117227498257,0.13125882912434497,210.0,20.0
greedy-advertised,2,100,16.801522593147826,0.16801522593147827,0.42851522593147834,0.41960524886531003,1317.5,128.75
oracle,2,100,36.53026528137867,0.36530265281378665,0.5180526528137867,0.513632976515757,765.0,76.25
pheromone_router,3,100,17.73039141868272,0.17730391418682723,0.3981539141868272,0.3961259886936964,1111.0,109.75
random,3,100,15.666926156067559,0.1566692615606756,0.29724926156067555,0.30752593589194066,693.3,71.25
greedy-cheapest,3,100,9.176219516316122,0.09176219516316123,0.13276219516316123,0.1401340987469591,210.0,20.0
greedy-advertised,3,100,16.974858530642315,0.16974858530642314,0.4302485853064231,0.4418793307804057,1317.5,128.75
oracle,3,100,36.55088227327468,0.3655088227327468,0.5182588227327468,0.5321092832358445,765.0,76.25
pheromone_router,4,100,18.14494605682578,0.1814494605682578,0.3966794605682578,0.40339869918718035,1093.3,105.9
random,4,100,13.359339900383574,0.13359339900383574,0.27058339900383577,0.24940689815204098,670.4,69.95
greedy-cheapest,4,100,9.439480270369726,0.09439480270369727,0.13539480270369728,0.13206032983440721,210.0,20.0
greedy-advertised,4,100,17.00552499579135,0.17005524995791352,0.4305552499579136,0.43357246601604643,1317.5,128.75
oracle,4,100,36.5444837962284,0.365444837962284,0.518194837962284,0.5236607381847133,765.0,76.25
