method,seed,n_queries,cumulative_reward,mean_reward,mean_quality,final_quality,mean_cost_tokens,mean_latency_ms
pheromone_router,0,100,9.734021723553994,0.09734021723553994,0.33822021723553986,0.31620912994576095,1122.8,128.6
greedy-advertised,0,100,2.59515321278143,0.0259515321278143,0.3152515321278143,0.18914510338746218,1317.5,157.55
oracle,0,100,36.55797339616602,0.3655797339616602,0.5097497339616602,0.49408133870549953,723.2,71.85
pheromone_router,1,100,12.758798396992663,0.12758798396992663,0.3744579839699266,0.3436784570483677,1160.2,130.85
greedy-advertised,1,100,1.5708585930194996,0.015708585930194995,0.305008585930195,0.18654677704209394,1317.5,157.55
oracle,1,100,35.90420274552447,0.3590420274552447,0.5032120274552446,0.4983584271957231,723.2,71.85
pheromone_router,2,100,10.718335875909595,0.10718335875909596,0.33557335875909594,0.3151761487663498,1083.4,120.05
greedy-advertised,2,100,2.1495706682875326,0.021495706682875326,0.3107957066828753,0.18931090759396463,1317.5,157.55
oracle,2,100,36.42795847408931,0.36427958474089306,0.5084495847408931,0.49599882552453667,723.2,71.85
pheromone_router,3,100,8.352777903399335,0.08352777903399336,0.32243777903399334,0.2718392701973127,1099.6,128.95
greedy-advertised,3,100,1.9735232081280052,0.01973523208128005,0.3090352320812801,0.19266944045228324,1317.5,157.55
oracle,3,100,36.43322287979458,0.3643322287979458,0.5085022287979458,0.5124945732314937,723.2,71.85
pheromone_router,4,100,13.369027466330737,0.13369027466330738,0.3597202746633074,0.32264460989395516,1082.8,117.75
greedy-advertised,4,100,1.992512652918709,0.019925126529187088,0.3092251265291871,0.1921018652524469,1317.5,157.55
oracle,4,100,36.4412060314684,0.364412060314684,0.508582060314684,0.5058508240235446,723.2,71.85
